X,y
-2.92189598,0.034233783278178304
-2.846694349,-0.016935587
-2.844442609,-0.175833512
-2.836785805,-0.994326245
-2.749213741,0.000779241
-2.725926209,-0.262634082
-2.608280974,-0.702859436
-2.597133776,-0.194334846
-2.522127138,-0.433703448
-2.507430466,-0.550334748
-2.420814506,-0.846714323
-2.358325894,-0.877892677
-2.323342709,-0.834823265
-2.23704017,-1.086897341
-2.192520328,-0.425701712
-2.026208409,-0.647424908
-1.98464732,-0.914359154
-1.977137199,-1.403028025
-1.893360806,-1.326136689
-1.789540642,-1.467228457
-1.772108196,-1.559124941
-1.712185522,-1.141430473
-1.678162758,-1.227105076
-1.643927996,-1.089386902
-1.516936566,0.094698553
-1.441531484,-1.410132667
-1.399036349,-1.057663906
-1.383667214,-0.816733831
-1.241860609,-1.0224692
-1.202071958,-0.805963885
-1.120448829,-1.098214426
-1.058752095,-1.020911696
-1.017991074,-0.382156152
-0.950318084,-0.979658552
-0.90104229,-1.093605023
-0.894768592,-0.901557341
-0.860254313,-0.5546271
-0.80194559,-1.191647088
-0.724736598,-0.621330382
-0.678660688,-0.315029824
-0.678644093,-0.486463228
-0.674859445,-1.286736169
-0.562349742,-1.048733764
-0.510564976,-0.230642904
-0.499479359,-0.307511662
-0.477793187,-0.391751295
-0.43472422,-0.223938115
-0.431266034,-0.526371126
-0.388065644,-0.189640121
-0.384030587,-0.528662293
-0.379516422,-0.431556869
-0.351870484,-0.436068318
-0.193275093,0.6580720475592526
-0.101580987,0.042725520761473026
-0.034578976,0.8271928709467038
-0.017557208,0.10412819989120023
5.01670213006733e-05,-0.588255742
0.024002636274915723,0.604604394
0.031420320111294586,-0.076444873
0.031476541,-0.208279937
0.081468728,0.21007131995521117
0.14440125180218555,-0.545970815
0.1748525656622344,-0.60723811
0.2136250409859377,-0.282151235
0.26524896088861283,0.42812957977249455
0.29797486727225486,0.42087366351451194
0.30586743194651556,0.0091273
0.40286476576625585,0.038455686
0.4800250732668401,0.8826726363649855
0.4961093311742073,1.8455717434372865
0.5804718538715745,0.3514278054195139
0.6109027284328041,0.8060792369093975
0.7156257981039822,1.003031142004374
0.7268029966157696,1.0556610721628694
0.8424403512894889,0.4057981679903327
0.8630516048891703,1.0363161560876726
0.9450743259542635,0.9114169128401721
0.9688879602926481,1.034463890328414
0.9732121156099547,1.3372840343174408
1.2045140796429372,0.6024116351110174
1.4204823377226772,0.5704840048842486
1.4303985517254016,1.4353491338837514
1.5897591627100889,1.2003254820370435
1.6593551099826023,1.3360328095502627
1.7120108869000408,1.134409967278308
1.7618247266494622,1.2482028250828487
1.7844296341955612,1.0577469383261182
1.8015501067955206,1.2055602667166645
1.992101397807005,0.7564405866722996
2.0793689121448082,1.4852180239376258
2.1051030240270103,0.7766971905748761
2.1238517558369328,0.7495613651073686
2.2899134144912914,0.6397150224237776
2.3371203836768695,0.682324335
2.722453362,0.6890783630376079
2.7873064805355305,0.7166353865267382
2.8234818802630413,0.16976823993681683
2.837464139248949,0.4316351835687823
2.8989206721432765,0.6129260829995731
2.9631120685276375,0.7750654513413622
